Title,Link,Views,Upload Date,Duration
The Mind-Reading Potential of AI | Chin-Teng Lin | TED,https://www.youtube.com/watch?v=vgigO1XgyRo&pp=0gcJCX4JAYcqIYzv,68K views,3 months ago,
"Xiuhtezcatl Performing ""Careful"" / ""Veils"" at TED2024",https://www.youtube.com/watch?v=UG1eW81y7Ac&pp=0gcJCX4JAYcqIYzv,5.6K views,3 months ago,
Can You Love Your Body — and Still Want To Change It? | Gabriella Lascano | TED,https://www.youtube.com/watch?v=I2s4msDXNgw,38K views,3 months ago,
How Community-Led Research Drives Social Change | Monica Malta | TED,https://www.youtube.com/watch?v=_hZseWeLSFY,103K views,3 months ago,
What Does Poverty Look Like on a Plate? | Huiyi Lin | TED,https://www.youtube.com/watch?v=GVdzOw_8pFE,43K views,3 months ago,
How to Make Big Decisions in Challenging Circumstances | Jonathan Reimer | TED,https://www.youtube.com/watch?v=fHDy7Jzp-5I,78K views,3 months ago,
"What’s Our Relationship to AI? It’s Complicated | AC Coppens, Kasley Killam, Apolinário Passos | TED",https://www.youtube.com/watch?v=lY7e3CDPY4g,40K views,3 months ago,
Want to Give a Great Presentation? Use Ugly Sketches | Martin J. Eppler | TED,https://www.youtube.com/watch?v=0Vjh5d5rez0,465K views,3 months ago,
4 Steps to Unlock Your Kid's Math Potential | Shalinee Sharma | TED,https://www.youtube.com/watch?v=hg_xzFJ4ZAA&pp=0gcJCX4JAYcqIYzv,394K views,3 months ago,
Break the Bad News Bubble (Part 2) | Angus Hervey | TED,https://www.youtube.com/watch?v=hKx4HGfNgCg,28K views,3 months ago,
How to Protect Your Emotional Health During the Holidays | Guy Winch | TED,https://www.youtube.com/watch?v=lkMV6SxilXc,34K views,3 months ago,
The Greatest Show on Earth — for Kids Who Need It Most | Sahba Aminikia | TED,https://www.youtube.com/watch?v=QsXfQW9LrjA&pp=0gcJCX4JAYcqIYzv,16K views,3 months ago,
Why Your Body Fights Weight Loss | Katherine Saunders | TED,https://www.youtube.com/watch?v=p-Yd4PdmYzg,91K views,4 months ago,
How a Deepfake Almost Ruined My Political Career | Cara Hunter | TED,https://www.youtube.com/watch?v=E7hwoDHfU28,40K views,4 months ago,
The Song That Sparked a Movement in Afghanistan | Nila Ibrahimi | TED,https://www.youtube.com/watch?v=qsnbJZQAD-k,74K views,4 months ago,
The Real-World Danger of Online Myths | Vidhya Ramalingam | TED,https://www.youtube.com/watch?v=kZeVIJqW1ts,40K views,4 months ago,
How Art Transforms Brokenness Into Beauty | Lily Yeh | TED,https://www.youtube.com/watch?v=oD50pUZFEbo,84K views,4 months ago,
Forget the Corporate Ladder — Winners Take Risks | Molly Graham | TED,https://www.youtube.com/watch?v=amtBUvkweEA,453K views,4 months ago,
How Your Childhood Toys Tell Your Life Story | Chris Byrne | TED,https://www.youtube.com/watch?v=sLapoMlHOeY,187K views,4 months ago,
The Trick to Powerful Public Speaking | Lawrence Bernstein | TED,https://www.youtube.com/watch?v=bsxJVgb6Kls,156K views,4 months ago,
This Refrigerator Is Saving Lives | Norah Magero | TED,https://www.youtube.com/watch?v=YL5mJAGGsjY,18K views,4 months ago,
"How to Hide “Science Vegetables” in Viral Videos, with @MarkRober Rober | ReThinking with Adam Grant",https://www.youtube.com/watch?v=Fq0jpQrTEFs,21K views,4 months ago,
"Our Savory, Spicy, Significant Relationship With Food | June Jo Lee | TED",https://www.youtube.com/watch?v=0jBhEPtC0fk,21K views,4 months ago,
How AI Is Saving Billions of Years of Human Research Time | Max Jaderberg | TED,https://www.youtube.com/watch?v=uq-deRtvedI,66K views,4 months ago,
Can Curiosity Heal Division? | Scott Shigeoka | TED,https://www.youtube.com/watch?v=nT1MYWOFgJo,26K views,4 months ago,
Can AI Master the Art of Humor? | Bob Mankoff | TED,https://www.youtube.com/watch?v=pMgqSJP9dN8,39K views,4 months ago,
Why Do You Love Your Favorite Songs? | Scarlet Keys | TED,https://www.youtube.com/watch?v=GRgqbsP_-uw,61K views,4 months ago,
Your Relationship Expectations Could Be Holding You Back | Stephanie R. Yates-Anyabwile | TED,https://www.youtube.com/watch?v=YbnS39GAcQo,100K views,4 months ago,
The Foods Humanity Forgot — and How We’re Bringing Them Back | Helianti Hilman | TED,https://www.youtube.com/watch?v=VEgltjydwZ8&pp=0gcJCX4JAYcqIYzv,40K views,4 months ago,
How I Imitate Nature’s Voices | Snow Raven | TED,https://www.youtube.com/watch?v=g3AU44HfpfE,49K views,4 months ago,
How to Be an “Apocalyptic Optimist” | Dana R. Fisher | TED,https://www.youtube.com/watch?v=do27uAjfKbg,40K views,4 months ago,
"Ask Dumb Questions, Embrace Mistakes — and Other Lessons on Innovation | Dave Raggio | TED",https://www.youtube.com/watch?v=Nh1QvWm0BrQ,52K views,4 months ago,
A Mouse With Two Dads — and a New Frontier for Biology | Katsuhiko Hayashi | TED,https://www.youtube.com/watch?v=dDKozwjlt-Q,28K views,4 months ago,
Can Europe Win the Age of AI? | Thomas Dohmke | TED,https://www.youtube.com/watch?v=SoI9-PP5Tmk,49K views,4 months ago,
"K-Pop, Cutting-Edge Tech and Other Ways Asia Is Shaping the World | Neeraj Aggarwal | TED",https://www.youtube.com/watch?v=dzBj5rRmTv8,35K views,4 months ago,
A Menu of Foods We Might Lose Forever | Sam Kass | TED,https://www.youtube.com/watch?v=HLwvyD1MbSM,53K views,4 months ago,
Is AI Progress Stuck? | Jennifer Golbeck | TED,https://www.youtube.com/watch?v=Tq6_7XyCyyI,137K views,5 months ago,
Why Friendship Can Be Just As Meaningful as Romantic Love | Rhaina Cohen | TED,https://www.youtube.com/watch?v=wRa3sycERxA&pp=0gcJCX4JAYcqIYzv,77K views,5 months ago,
Why Spending Smarter Beats Bigger Budgets | Karthik Muralidharan | TED,https://www.youtube.com/watch?v=UFNRxEmoMaw,52K views,5 months ago,
Yo! Have You Ever Seen a Yo-Yo Dance Like This? | Shu Takada | TED,https://www.youtube.com/watch?v=1Bj-zXkVi68,42K views,5 months ago,
Listen to Your Intuition — It Can Help You Navigate the Future | Hrund Gunnsteinsdóttir | TED,https://www.youtube.com/watch?v=YKufhUZRJ1E,124K views,5 months ago,
From Prison to Purpose Through Wildland Firefighting | Royal Ramey | TED,https://www.youtube.com/watch?v=44lbeIb6TjA&pp=0gcJCX4JAYcqIYzv,25K views,5 months ago,
"Luxury, Not Landfill — the Waste-Free Future of Fashion | Joon Silverstein | TED",https://www.youtube.com/watch?v=MMaWtHnyP04,44K views,5 months ago,
Trump’s 2024 Election Win — and What’s Next | TED Explains the World with Ian Bremmer,https://www.youtube.com/watch?v=VuJbzKpbIVk&pp=0gcJCX4JAYcqIYzv,351K views,5 months ago,
Why You Think You Look Bad in Photos | Teri Hofford | TED,https://www.youtube.com/watch?v=vh8q8ySORFs,92K views,5 months ago,
Democracy Is Being Tested. Citizen Assemblies Can Help | Ketakandriana Rafitoson | TED,https://www.youtube.com/watch?v=hHYe3O7_TUA,27K views,5 months ago,
5 Ways Leaders Can Adapt to Shifting Geopolitics | Nikolaus S. Lang | TED,https://www.youtube.com/watch?v=PYRFxrLt30A,33K views,5 months ago,
How AI Could Hack Democracy | Lawrence Lessig | TED,https://www.youtube.com/watch?v=OjuYFNR1aWo,44K views,5 months ago,
How to Defend Democracy — and Fight Autocracy | Leopoldo Lopez | TED,https://www.youtube.com/watch?v=YP-iH-7WRLI,92K views,5 months ago,
Networking Doesn’t Have to Feel Gross | Daniel Hallak | TED,https://www.youtube.com/watch?v=2LkDU0iKaro,51K views,5 months ago,
Poetry and Music That Reaches Across the Digital Void | Elle Cordova | TED,https://www.youtube.com/watch?v=HDHbjYNBwXI,176K views,5 months ago,
The Tipping Point I Got Wrong | Malcolm Gladwell | TED,https://www.youtube.com/watch?v=RmXrwKydM9k,856K views,5 months ago,
A Food System That Fights Climate Change — Instead of Causing It | Gonzalo Muñoz | TED,https://www.youtube.com/watch?v=Efp1EiSwDO4,38K views,5 months ago,
Could We Replace Data Centers with … Plant DNA? | Cliff Kapono and Keolu Fox | TED,https://www.youtube.com/watch?v=Kcq-FxK-GK0,14K views,5 months ago,
A Lens on Georgia’s Survival in the Shadow of a Superpower | Daro Sulakauri | TED,https://www.youtube.com/watch?v=wUpZ181ATfI,18K views,5 months ago,
Your Empty Wine Bottle Could Help Rebuild Coastlines | Franziska Trautmann | TED,https://www.youtube.com/watch?v=DnqNS6fThuY,53K views,5 months ago,
Why Creativity Thrives on Challenges | Jon M. Chu | TED,https://www.youtube.com/watch?v=cbtkoZUOR1A,31K views,5 months ago,
Will the End of Economic Growth Come by Design — or Disaster? | Gaya Herrington | TED,https://www.youtube.com/watch?v=JfeRLwlnuHo,60K views,5 months ago,
How a Worm Could Save Humanity From Bad AI | Ramin Hasani | TED,https://www.youtube.com/watch?v=x6oM9hQMjUY,36K views,5 months ago,
"The Magical, Mesmerizing Migration of Monarch Butterflies | Jaime Rojo | TED",https://www.youtube.com/watch?v=PnBMdJ5KeHk,44K views,5 months ago,
A Hypnotic Exploration of Movement | JA Collective | TED,https://www.youtube.com/watch?v=TiwcAjRuhoE,29K views,6 months ago,
A Sonic Journey Through the Universe | Felipe Sánchez Luna | TED,https://www.youtube.com/watch?v=WrxJKj71c9o,33K views,6 months ago,
What Long COVID Taught Me About Life (and Data) | Giorgia Lupi | TED,https://www.youtube.com/watch?v=jFl9kFms7nA,48K views,6 months ago,
Why Don’t Vampires Cast Reflections? | Eric Nuzum | TED,https://www.youtube.com/watch?v=Z6bxX3mcfJg,35K views,6 months ago,
How to Fight (and Win) an Information War | Peter Pomerantsev | TED,https://www.youtube.com/watch?v=sgHHRVH0NFo,180K views,6 months ago,
A Medical Mythbuster’s Mission to Improve Health Care | Joel Bervell | TED,https://www.youtube.com/watch?v=Y1kO-0Yo1R0&pp=0gcJCX4JAYcqIYzv,25K views,6 months ago,
How Regenerative Agriculture Brings Life Back to the Land | Gabe Brown | TED,https://www.youtube.com/watch?v=4R7mX6pChSA,160K views,6 months ago,
Harris vs. Trump — and What’s at Stake for the World | TED Explains the World with Ian Bremmer,https://www.youtube.com/watch?v=_cPj3b9BDPI,393K views,6 months ago,
The Probe on a Mission To Touch the Sun | Nour E. Rawafi | TED,https://www.youtube.com/watch?v=hktbamn2jX4&pp=0gcJCX4JAYcqIYzv,37K views,6 months ago,
What’s Next for Immersive Storytelling? | Mark Grimmer |  TED,https://www.youtube.com/watch?v=u6m2rwNfkrU,35K views,6 months ago,
The Hidden Forces Behind Your Food Choices | Sarah Lake | TED,https://www.youtube.com/watch?v=V3Cav6WhwZc&pp=0gcJCX4JAYcqIYzv,53K views,6 months ago,
Everything Is Improvisation — Including This TED Talk | Reggie Watts | TED,https://www.youtube.com/watch?v=WicBE2Uwz0A,105K views,6 months ago,
How Quadratic Funding Could Finance Your Dreams | Kevin Owocki | TED,https://www.youtube.com/watch?v=1GRt0j698T4,43K views,6 months ago,
The Power of Personalization in the Age of AI | Mark Abraham | TED,https://www.youtube.com/watch?v=vNCVrtwrAWg,55K views,6 months ago,
The Sweet Future of Vertical Farming | Hiroki Koga | TED,https://www.youtube.com/watch?v=RsXLT2z3X8g,110K views,6 months ago,
How To Come Together in a Meaningful Way | Priya Parker | TED,https://www.youtube.com/watch?v=cYW8ntaw_v8,28K views,6 months ago,
Can AI Preserve Your Most Precious Memories? | Pau Aleikum Garcia | TED,https://www.youtube.com/watch?v=PkGCtSkbnjQ,22K views,6 months ago,
How to Make Your Cat Happier — in 3 Minutes | Nicky Trevorrow | TED,https://www.youtube.com/watch?v=8jkFNm8lKOs,51K views,6 months ago,
A Bold Plan to Rewild the Earth — at Massive Scale | Kristine McDivitt Tompkins | TED,https://www.youtube.com/watch?v=VDP27kIe7-s,179K views,6 months ago,
The UN Is Speaking Up About AI — Here’s What They’re Saying | Ian Bremmer and Bilawal Sidhu | TED,https://www.youtube.com/watch?v=I-B_Oa6_eNU,61K views,6 months ago,
Capitalism Broke the Climate. Now It Can Fix It | Akshat Rathi | TED,https://www.youtube.com/watch?v=HsmOJ4Xbfp4,29K views,6 months ago,
Break the Bad News Bubble with Angus Hervey (Part 1) | TED Explains,https://www.youtube.com/watch?v=RAh0Q3XsB6w&pp=0gcJCX4JAYcqIYzv,18K views,6 months ago,
The Otters of Singapore — and Other Unexpected Wildlife Thriving in Cities | Philip Johns | TED,https://www.youtube.com/watch?v=jx4q82a6jHc,60K views,6 months ago,
Time Traveling with AI to Connect with Lost Loved Ones | Amy Kurzweil | TED,https://www.youtube.com/watch?v=G37VO1yeVEo,46K views,6 months ago,
What Makes a Good Life? A Neuroscientist + a Global Financial CEO Answer | TED Intersections,https://www.youtube.com/watch?v=JpytM780stk,135K views,6 months ago,
The Rise of Virtual Humans — and What They Mean for the Future | Sara Giusto | TED,https://www.youtube.com/watch?v=hTnJYRMixKs,50K views,6 months ago,
Can Math Help Repair Democracy? | Sam Wang | TED,https://www.youtube.com/watch?v=IMC8jmEXHfk,46K views,6 months ago,
Can Dogs Detect the Next Pandemic Before It Begins? | Glen J. Golden | TED,https://www.youtube.com/watch?v=wLvGABoTV-s,29K views,7 months ago,
The Recipe for a Healthy Climate Starts at the Dinner Table | Anthony Myint | TED,https://www.youtube.com/watch?v=P_8l1WAJ2Mw,25K views,7 months ago,
What’s the Future of Food? A Chef + a Cardiologist Answer | @jonkung + Uma Valeti | Intersections,https://www.youtube.com/watch?v=CeUoS2T2hhc&pp=0gcJCX4JAYcqIYzv,42K views,7 months ago,
How to Live a Meaningful Life | Brian S. Lowery | TED,https://www.youtube.com/watch?v=mGeGLLsiy44,208K views,7 months ago,
Are Smartphones Ruining Childhood? | Jonathan Haidt | TED,https://www.youtube.com/watch?v=KNEGWrD08f8&pp=0gcJCX4JAYcqIYzv,77K views,7 months ago,
How to Turn the Tables on Food Waste | Dana Gunders | TED,https://www.youtube.com/watch?v=6iqXH9RPK1w,39K views,7 months ago,
"To End Extreme Poverty, Give Cash — Not Advice | Rory Stewart | TED",https://www.youtube.com/watch?v=tt0HOe7gf7I&pp=0gcJCX4JAYcqIYzv,123K views,7 months ago,
How to Find Laughter Anywhere | Chris Duffy | TED,https://www.youtube.com/watch?v=sUv353ua7E8,106K views,7 months ago,
What Makes Us Human in the Age of AI? A Psychologist and a Technologist Answer | TED Intersections,https://www.youtube.com/watch?v=Rcm9u9CdK10&pp=0gcJCX4JAYcqIYzv,53K views,7 months ago,
A Controversial Play — and What It Taught Me About the Psychology of Climate | David Finnigan | TED,https://www.youtube.com/watch?v=MHZMQLDr-OA,592K views,7 months ago,
How to Ask for More — and Get It | Alex Carter | TED,https://www.youtube.com/watch?v=bB33OBc-U6A,83K views,7 months ago,
Want to Get Ahead at Work? Risk the Awkward Moments | Henna Pryor | TED,https://www.youtube.com/watch?v=kIFOiF9Q4VM,53K views,7 months ago,
The Beautiful Paradoxes of a Multicultural Identity | Farhad Mohit | TED,https://www.youtube.com/watch?v=QjpaJpMd5NU,33K views,7 months ago,
What Does It Take to Create Change? An Artist and a Conservationist Answer | TED Intersections,https://www.youtube.com/watch?v=1bB86TOKljk,44K views,7 months ago,
